"","Molecule_name","RefSeq_sequence"
"1","1","NC_000001.11"
"2","2","NC_000002.12"
"3","3","NC_000003.12"
"4","4","NC_000004.12"
"5","5","NC_000005.10"
"6","6","NC_000006.12"
"7","7","NC_000007.14"
"8","8","NC_000008.11"
"9","9","NC_000009.12"
"10","10","NC_000010.11"
"11","11","NC_000011.10"
"12","12","NC_000012.12"
"13","13","NC_000013.11"
"14","14","NC_000014.9"
"15","15","NC_000015.10"
"16","16","NC_000016.10"
"17","17","NC_000017.11"
"18","18","NC_000018.10"
"19","19","NC_000019.10"
"20","20","NC_000020.11"
"21","21","NC_000021.9"
"22","22","NC_000022.11"
"23","X","NC_000023.11"
"24","Y","NC_000024.10"
